Feature
app_EXT_SOURCE_MEAN
app_EXT_SOURCE_3
app_NAME_EDUCATION_TYPE_Higher education
inst_score
app_EXT_SOURCE_2
buro_AMT_SUM_DEBT_RATIO_1_max
buro_AMT_SUM_DEBT_RATIO_1_mean
app_FLAG_DOCUMENT_3
app_NAME_INCOME_TYPE_Working
app_NAME_EDUCATION_TYPE_Secondary / secondary special
card_scale_mean_scale_sum_CNT_DRAWINGS_ATM_CURRENT
prev_NAME_CONTRACT_STATUS_Refused_mean
pos_score
app_PERCENT_WORKED
card_mean12_CNT_DRAWINGS_ATM_CURRENT
prev_NAME_YIELD_GROUP_high_max_True
inst_mean_DPD_SCALE
app_CODE_GENDER_M
buro_AMT_SUM_DEBT_RATIO_1_std
card_scale_mean_scale_sum_AMT_BALANCE_CREDIT_RATIO
prev_DAYS_DUE_DIFF_1_std
card_mean36_CNT_DRAWINGS_ATM_CURRENT
prev_AMT_GIVEN_RATIO_1_mean
prev_AMT_DOWN_PAYMENT_max
card_mean4_AMT_BALANCE_CREDIT_RATIO
prev_CNT_PAYMENT_max
card_mean12_AMT_BALANCE_CREDIT_RATIO
buro_CREDIT_TYPE_Microloan_max_True
inst_sum_DPD_SCALE
app_ANNUITY LENGTH
mix_AMT_PREV_ANNUITY_RATIO
app_OWN_CAR_AGE
app_AMT_GOODS_PRICE
inst_max_AMT_PAYMENT_DIFF
prev_NAME_CONTRACT_STATUS_Refused_std
card_var_CNT_DRAWINGS_ATM_CURRENT
prev_CNT_PAYMENT_std
prev_CODE_REJECT_REASON_SCOFR_std
app_AMT_ANNUITY
app_EXT_SOURCE_1
app_FLOORSMAX_AVG
card_mean12_AMT_DRAWING_ATM_RATIO
card_mean4_CNT_DRAWINGS_ATM_CURRENT
prev_NAME_YIELD_GROUP_high_mean
card_scale_sum_CNT_DRAWINGS_ATM_CURRENT
prev_CODE_REJECT_REASON_XAP_mean
poca_recent_SK_DPD_DEF
app_DAYS_BIRTH
app_NUM_DOCUMENTS
card_max_AMT_BALANCE_CREDIT_RATIO
buro_CREDIT_TYPE_Microloan_mean
buro_AMT_CREDIT_SUM_OVERDUE_max
buro_CREDIT_TYPE_Microloan_std
prev_CODE_REJECT_REASON_SCOFR_mean
app_DEF_30_CNT_SOCIAL_CIRCLE
app_OCCUPATION_TYPE_Core staff
app_REGION_RATING_CLIENT_W_CITY
prev_CNT_PAYMENT_mean
app_APARTMENTS_AVG
app_OWN_CAR_AGE_RATIO
prev_AMT_GIVEN_RATIO_1_max
card_scale_sum_AMT_BALANCE_CREDIT_RATIO
app_AMT_CREDIT
poca_MONTH_MAX
app_NAME_FAMILY_STATUS_Married
prev_REJECT_RATIO_5_mean
poca_sum_SK_DPD_DEF_SCALE
app_NUM_EXT_SOURCES
card_mean4_AMT_BALANCE
app_NAME_CONTRACT_TYPE_Revolving loans
poca_mean_SK_DPD_DEF_SCALE
prev_NAME_PRODUCT_TYPE_walk-in_mean
buro_CREDIT_TYPE_Mortgage_mean
prev_NAME_YIELD_GROUP_low_action_mean
app_NAME_INCOME_TYPE_State servant
inst_sum_AMT_PAYMENT_SCALE
buro_AMT_CREDIT_SUM_OVERDUE_mean
poca_recent_CNT_INSTALMENT_FUTURE
buro_AMT_CREDIT_SUM_OVERDUE_std
inst_AMT_PAYMENT_TOTAL_RATIO
app_ANNUITY_BY_INCOME
prev_CODE_REJECT_REASON_XAP_std
prev_AMT_GIVEN_RATIO_1_min
buro_CREDIT_TYPE_Mortgage_max_True
card_mean4_AMT_DRAWINGS_CURRENT
buro_CNT_BURO_ACTIVE_min
app_DEF_60_CNT_SOCIAL_CIRCLE
app_REG_CITY_NOT_LIVE_CITY
poca_MONTH_CNT
buro_AMT_SUM_OVERDUE_RATIO_2_mean
buro_AMT_CREDIT_MAX_OVERDUE_mean
buro_AMT_MAX_OVERDUE_RATIO_2_mean
card_scale_mean_scale_sum_AMT_RECEIVABLE_PRINCIPAL_DIFF
card_mean4_AMT_DRAWING_ATM_RATIO
app_ORGANIZATION_TYPE_Self-employed
card_var_CNT_DRAWINGS_CURRENT
poca_NAME_CONTRACT_STATUS_CNT_Active
prev_DAYS_LAST_DUE_1ST_VERSION_mean
card_mean4_AMT_CREDIT_LIMIT_ACTUAL
buro_AMT_CREDIT_SUM_mean
buro_CREDIT_ACTIVE_Closed_mean
app_OCCUPATION_TYPE_Laborers
prev_PRODUCT_COMBINATION_Cash Street: high_mean
card_mean36_AMT_RECEIVABLE_PRINCIPAL_DIFF
prev_REJECT_RATIO_1_mean
app_LIVINGAREA_AVG
card_mean4_AMT_PAY_INST_DIFF
inst_length
prev_DAYS_LAST_DUE_1ST_VERSION_max
app_REGION_RATING_CLIENT
app_DAYS_EMPLOYED
buro_AMT_CREDIT_MAX_OVERDUE_max
buro_CNT_BURO_ACTIVE_mean
card_mean36_AMT_BALANCE_CREDIT_RATIO
buro_CNT_BURO_ACTIVE_max
inst_var_AMT_PAYMENT_PERC
card_var_AMT_RECEIVABLE_PRINCIPAL_DIFF
prev_NAME_GOODS_CATEGORY_XNA_mean
app_CNT_ADULTS
card_scale_mean_scale_sum_CNT_DRAWINGS_CURRENT
inst_DAYS_LAST_LATE
buro_AMT_CREDIT_SUM_DEBT_std
card_mean12_AMT_PAY_USE_RATIO
app_DAYS_ID_PUBLISH
mix_AMT_BURO_CREDIT_RATIO
prev_DAYS_DECISION_mean
card_var_AMT_TOTAL_RECEIVABLE
prev_AMT_DOWN_PAYMENT_mean
card_max_AMT_RECEIVABLE_PRINCIPAL_DIFF
card_mean4_AMT_RECEIVABLE_PRINCIPAL_DIFF
inst_mean_AMT_PAYMENT_PERC
app_ELEVATORS_AVG
prev_DAYS_DUE_DIFF_1_max
inst_sum_DBD_SCALE
card_scale_sum_CNT_DRAWINGS_CURRENT
card_mean12_AMT_BALANCE
card_mean12_AMT_PAYMENT_TOTAL_CURRENT
prev_DAYS_DUE_DIFF_1_mean
buro_DAYS_CREDIT_ENDDATE_max
card_mean4_AMT_DRAWINGS_ATM_CURRENT
card_mean4_AMT_PAY_USE_RATIO
prev_NAME_TYPE_SUITE_Other_A_std
prev_PRODUCT_COMBINATION_POS industry with interest_mean
prev_DAYS_FIRST_DUE_min
buro_AMT_CREDIT_SUM_max
app_DAYS_ID_PUBLISHED_RATIO
buro_AMT_MAX_OVERDUE_RATIO_2_min
prev_NAME_YIELD_GROUP_high_std
card_scale_mean_scale_sum_AMT_DRAWINGS_ATM_CURRENT
app_CREDIT_BY_INCOME
prev_NAME_GOODS_CATEGORY_Furniture_mean
card_max_AMT_BALANCE_RECIVABLE_RATIO
prev_NAME_GOODS_CATEGORY_Mobile_mean
prev_DAYS_TERMINATION_DIFF_1_max
prev_PRODUCT_COMBINATION_POS household without interest_mean
buro_DAYS_CREDIT_mean
prev_PRODUCT_COMBINATION_Cash X-Sell: high_std
app_NAME_FAMILY_STATUS_Separated
card_max_CNT_DRAWINGS_CURRENT
card_mean4_AMT_PAYMENT_TOTAL_CURRENT
prev_CODE_REJECT_REASON_HC_mean
prev_PRODUCT_COMBINATION_Cash Street: high_std
prev_NAME_SELLER_INDUSTRY_Connectivity_mean
inst_mean_DPD
card_mean12_AMT_DRAWINGS_ATM_CURRENT
card_scale_sum_AMT_DRAWING_ATM_RATIO
buro_AMT_CREDIT_SUM_DEBT_max
card_mean12_AMT_PAY_INST_DIFF
inst_mean_AMT_PAYMENT_DIFF
buro_AMT_CREDIT_SUM_DEBT_mean
buro_DAYS_END_DIFF_2_min
buro_LOAN_SCORE_max
buro_DAYS_DURATION_1_std
prev_CHANNEL_TYPE_Channel of corporate sales_mean
prev_DAYS_FIRST_DUE_mean
buro_AMT_MAX_OVERDUE_RATIO_2_max
poca_recent_MONTHS_BALANCE
card_scale_sum_AMT_DRAWINGS_ATM_CURRENT
